----------------------------------------------------------------------------------------------------------------------------------------------------------------XXXXXXXXXXXXXXXXXXX................................................................................................
----------------------------------------------------------------------------------------------------------------------------------------------------------------X..................XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX..........................................................
----------------------------------------------------------------------------------------------------------------------------------------------------------------X....................................XX.................X..........................................................
----------------------------------------------------------------------------------------------------------------------------------------------------------------X....................................XX..................X.........................................................
----------------------------------------------------------------------------------------------------------------------------------------------------------------X....................................X-X.................X.........................................................
----------------------------------------------------------------------------------------------------------------------------------------------------------------X....................................X--X................X.........................................................
----------------------------------------------------------------------------------------------------------------------------------------------------------------X....................................X--X.................X........................................................
----------------------------------------------------------------------------------------------------------------------------------------------------------------X....................................X---X................X........................................................
----------------------------------------------------------------------------------------------------------------------------------------------------------------X....................................X----X................X.......................................................
----------------------------------------------------------------------------------------------------------------------------------------------------------------X....................................X-----X...............X.......................................................
----------------------------------------------------------------------------------------------------------------------------------------------------------------X....................................X-----X...............X.......................................................
-----------------------------------------------------------------------------------------------------------------------------------------------------------------X...................................X------X...............X......................................................
-----------------------------------------------------------------------------------------------------------------------------------------------------------------X...................................X-------X..............X......................................................
-----------------------------------------------------------------------------------------------------------------------------------------------------------------X...................................X-------X..............X......................................................
-----------------------------------------------------------------------------------------------------------------------------------------------------------------X...................................X--------X..............X.....................................................
-----------------------------------------------------------------------------------------------------------------------------------------------------------------X...................................X--------X..............X.....................................................
-----------------------------------------------------------------------------------------------------------------------------------------------------------------X...................................X--------X...............X....................................................
-----------------------------------------------------------------------------------------------------------------------------------------------------------------X..........E..E..E.................X---------X...............X....................................................
-----------------------------------------------------------------------------------------------------------------------------------------------------------------X....................X.............X---------X...............X....................................................
-----------------------------------------------------------------------------------------------------------------------------------------------------------------X....................XX............X---------X................X...................................................
-----------------------------------------------------------------------------------------------------------------------------------------------------------------X..........E..E..E...XX............X---------X................X...................................................
-----------------------------------------------------------------------------------------------------------------------------------------------------------------X....................X-X...........X---------X................X...................................................
-----------------------------------------------------------------------------------------------------------------------------------------------------------------X....................X--X..........X---------X.................X..................................................
-----------------------------------------------------------------------------------------------------------------------------------------------------------------X..........E..E..E...X--X..........X---------X.................X..................................................
-----------------------------------------------------------------------------------------------------------------------------------------------------------------X....................X---X.........X---------X..................X.................................................
-----------------------------------------------------------------------------------------------------------------------------------------------------------------X....................X----X........X---------X..................X.................................................
-----------------------------------------------------------------------------------------------------------------------------------------------------------------X....................X----X........X---------X...................,................................................
-----------------------------------------------------------------------------------------------------------------------------------------------------------------X....................X-----X.......X---------X....................,...............................................
-----------------------------------------------------------------------------------------------------------------------------------------------------------------X....................X------X......X---------X....................,...............................................
-----------------------------------------------------------------------------------------------------------------------------------------------------------------X....................X------X......X---------X.....................,..............................................
-----------------------------------------------------------------------------------------------------------------------------------------------------------------X....................X-------X.....X---------X......................,.............................................
-----------------------------------------------------------------------------------------------------------------------------------------------------------------X....................X-------X.....X---------X.......................,............................................
------------------------------------------------------------------------------------------------------------------------------------------------------------------X...................X-------X......X--------X.......................,............................................
------------------------------------------------------------------------------------------------------------------------------------------------------------------X...................X-------X......X--------X........................,...........................................
------------------------------------------------------------------------------------------------------------------------------------------------------------------X...................X-------X.......X-------X.........................,..........................................
------------------------------------------------------------------------------------------------------------------------------------------------------------------X...................X-------X........X------X..................X.......,.........................................
------------------------------------------------------------------------------------------------------------------------------------------------------------------X...................X-------X.........X-----X..................X,......,.........................................
------------------------------------------------------------------------------------------------------------------------------------------------------------------X...................X-------X.........X-----X.................X.,.......,........................................
------------------------------------------------------------------------------------------------------------------------------------------------------------------X...................X-------X..........X----X.................X..,.......,.......................................
------------------------------------------------------------------------------------------------------------------------------------------------------------------X...................X-------X...........X---X.................X...,.......,......................................
------------------------------------------------------------------------------------------------------------------------------------------------------------------X.........E..E..E...X-------X...........X---X................X.....,......,......................................
------------------------------------------------------------------------------------------------------------------------------------------------------------------X...................X-------X............X--X................X.....,.......,.....................................
------------------------------------------------------------------------------------------------------------------------------------------------------------------X...................X-------X.............X-X................X......,.......,....................................
------------------------------------------------------------------------------------------------------------------------------------------------------------------X.........E..E..E...X-------X..............XX...............X........,.......,...................................
------------------------------------------------------------------------------------------------------------------------------------------------------------------X...................X-------X..............XX...............X.........,......,...................................
------------------------------------------------------------------------------------------------------------------------------------------------------------------X.........E..E..E...X-------X...............X...............X.........,.......,..................................
------------------------------------------------------------------------------------------------------------------------------------------------------------------X...................X-------X..............................X...........,.......,.................................
------------------------------------------------------------------------------------------------------------------------------------------------------------------X...................X-------X..............................X............,.......,................................
------------------------------------------------------------------------------------------------------------------------------------------------------------------X...................X-------X..............................X.............,.......,...............................
------------------------------------------------------------------------------------------------------------------------------------------------------------------X...................X-------X..............................X.............,.......,...............................
------------------------------------------------------------------------------------------------------------------------------------------------------------------X....................X------X.............................X...............,.......,..............................
------------------------------------------------------------------------------------------------------------------------------------------------------------------X....................X------X.............................X................,.......,.............................
------------------------------------------------------------------------------------------------------------------------------------------------------------------X.....................X-----X.............................X.................,.......,............................
-------------------------------------------------------------------------------------------------------------------------------------------------------------------X.......E..E..E.......X----X............................X..................,.......,............................
-------------------------------------------------------------------------------------------------------------------------------------------------------------------X.....................X----X............................X...................,.......,...........................
-------------------------------------------------------------------------------------------------------------------------------------------------------------------X......................X---X............................X....................,.......,..........................
-------------------------------------------------------------------------------------------------------------------------------------------------------------------X.......E..E..E.........X--X...........................X......................,.......,.........................
-------------------------------------------------------------------------------------------------------------------------------------------------------------------X.......................X--X...........................X......................,.......,.........................
-------------------------------------------------------------------------------------------------------------------------------------------------------------------X.......E..E..E..........X-X...........................X.......................,.......,........................
-------------------------------------------------------------------------------------------------------------------------------------------------------------------X.........................XX..........................X.........................,.......,.......................
-------------------------------------------------------------------------------------------------------------------------------------------------------------------X.........................XX..........................X..........................,.......,......................
-------------------------------------------------------------------------------------------------------------------------------------------------------------------X..................XXXXXXXXXXXXXXX....................X..........................,.......,......................
-------------------------------------------------------------------------------------------------------------------------------------------------------------------X........XXXXXXXXXX...............XXXXXXXXXXXXX......X............................,.......,.....................
-------------------------------------------------------------------------------------------------------------------------------------------------------------------X.........XX...................................XXXXXXX.............................,.......,....................
------------------------------------------------------------------------------------------------------------------------------------------------------------------X............X.......................................................................,.......,...................
----------------------------------------------------------------------------------------------------------------------------------------------------------------XX..............X......................................................................,.......,...................
---------------------------------------------------------------------------------------------------------------------------------------------------------------X.................XX.....................................................................,.......,..................
--------------------------------------------------------------------------------------------------------------------------------------------------------------X....................X.....................................................................,.......,.................
------------------------------------------------------------------------------------------------------------------------------------------------------------XX......................XX....................................................................,.......,................
